Frequency/GHz	 Amplitude rel. 2	 Phase 2	 Ref.Amplitude rel. 2	 Ref.Phase 2
503.0	0.59501	68.64442	0.913716	54.07685
504.0	0.5953092	68.77108	0.9157295	54.16613
505.0	0.5957194	68.89758	0.9172994	54.25533
506.0	0.5962634	69.02396	0.9184446	54.34435
507.0	0.5969615	69.15025	0.9192006	54.43312
508.0	0.5978306	69.27651	0.9196189	54.52155
509.0	0.5988839	69.40277	0.9197663	54.60957
510.0	0.60013	69.52909	0.9197232	54.69712
511.0	0.6015726	69.65554	0.9195817	54.78417
512.0	0.6032099	69.78215	0.9194424	54.87071
513.0	0.6050344	69.90901	0.9194114	54.95672
514.0	0.6070331	70.03615	0.9195964	55.04223
515.0	0.6091872	70.16364	0.9201021	55.12731
516.0	0.611472	70.29154	0.921026	55.21201
517.0	0.613858	70.41987	0.9224536	55.29645
518.0	0.6163106	70.54868	0.9244543	55.38073
519.0	0.618791	70.678	0.9270768	55.46501
520.0	0.6212568	70.80785	0.9303462	55.54941
521.0	0.6236626	70.93825	0.9342615	55.6341
522.0	0.625961	71.0692	0.9387938	55.71923
523.0	0.6281032	71.20069	0.9438863	55.80495
524.0	0.63004	71.3327	0.9494547	55.89139
525.0	0.6317225	71.46522	0.9553895	55.97866
526.0	0.6331032	71.59821	0.9615585	56.06686
527.0	0.6341366	71.73162	0.9678105	56.15606
528.0	0.6347798	71.86542	0.9739798	56.24629
