Frequency/GHz, Amplitude rel., Phase
  4900.0,  7.433393E-6,   386.94022
  4910.0,  4.853039E-6,   388.56005
  4920.0,  1.971309E-6,   391.12524
  4930.0,  3.437668E-6,   394.14276
  4940.0,  8.073442E-6,   396.61910
  4950.0,  1.611614E-5,   398.47596
  4960.0,  1.945006E-5,   400.08074
  4970.0,  1.415944E-5,   401.56791
  4980.0,  5.961130E-6,   402.73121
  4990.0,  3.888143E-6,   403.33814
  5000.0,  3.072795E-6,   405.10107
  5010.0,  2.761803E-6,   402.16143
  5020.0,  7.166288E-6,   404.45697
  5030.0,  7.786420E-6,   406.02694
  5040.0,  4.612675E-6,   406.45921
  5050.0,  9.802654E-6,   407.03283
  5060.0,  8.365089E-6,   408.32288
  5070.0,  4.921665E-6,   407.69042
  5080.0,  1.691427E-5,   408.86114
  5090.0,  2.020350E-5,   410.50459
  5100.0,  1.324471E-5,   412.32392
  5110.0,  5.857963E-6,   414.94391
  5120.0,  9.254284E-6,   417.32027
  5130.0,  1.155901E-5,   418.56599
  5140.0,  1.323253E-5,   419.55445
  5150.0,  1.281842E-5,   420.54229
  5160.0,  1.175133E-5,   421.49340
  5170.0,  1.150485E-5,   422.86002
  5180.0,  1.222694E-5,   424.75296
  5190.0,  1.367754E-5,   426.45430
  5200.0,  1.097092E-5,   427.60238
  5210.0,  9.258561E-6,   428.22476
  5220.0,  7.566181E-6,   428.89398
  5230.0,  7.566237E-6,   429.23398
  5240.0,  9.333010E-6,   430.61161
  5250.0,  1.119371E-5,   433.10197
  5260.0,  1.873635E-5,   435.23371
  5270.0,  1.645727E-5,   437.14322
  5280.0,  8.678839E-6,   439.90781
  5290.0,  1.593853E-5,   442.46886
  5300.0,  1.672514E-5,   444.12559
  5310.0,  1.231591E-5,   445.41790
  5320.0,  1.251969E-5,   446.69640
  5330.0,  1.395536E-5,   448.42830
  5340.0,  1.076796E-5,   450.54857
  5350.0,  1.115674E-5,   453.43472
  5360.0,  1.824374E-5,   455.57844
  5370.0,  1.610431E-5,   457.37222
  5380.0,  7.888698E-6,   459.49037
  5390.0,  8.742247E-6,   461.94745
  5400.0,  1.301982E-5,   463.40125
  5410.0,  1.629239E-5,   464.94827
  5420.0,  1.911310E-5,   466.95330
  5430.0,  2.493904E-5,   468.96158
  5440.0,  2.350326E-5,   470.72253
  5450.0,  9.902436E-6,   472.34180
  5460.0,  6.526540E-6,   471.19838
