Time_abs/ps	 Signal 2/nA	 Ref.signal 2/nA
612.0	3.612587	6.131567
612.05	3.667406	6.876853
612.1	3.463784	6.729135
612.15	3.028209	5.342465
612.2	2.423133	2.483624
612.25	1.727422	-1.623933
612.3	1.045457	-6.212091
612.35	0.435333	-10.141805
612.4	-0.017196	-12.437588
612.45	-0.282158	-12.71528
612.5	-0.371932	-11.199611
612.55	-0.280088	-8.530533
612.6	-0.058815	-5.34011
612.65	0.222989	-2.052287
612.7	0.470236	1.006098
612.75	0.586651	3.420607
612.8	0.5344	4.816759
612.85	0.273712	5.046765
612.9	-0.18112	4.461494
612.95	-0.710841	3.899403
613.0	-1.268433	4.094328
613.05	-1.751451	4.855242
613.1	-2.011128	5.067935
613.15	-2.073704	3.406183
613.2	-1.885769	-0.479406
613.25	-1.474631	-5.620907
613.3	-0.956859	-10.297624
613.35	-0.369267	-12.891426
613.4	0.158371	-12.747971
613.45	0.551206	-10.464146
613.5	0.793893	-7.628085
613.55	0.8846	-5.788299
613.6	0.893324	-5.629275
613.65	0.874959	-6.874848
613.7	0.895061	-8.637735
613.75	0.97648	-10.002956
613.8	1.103969	-10.101046
613.85	1.324175	-8.435753
613.9	1.607465	-5.33861
613.95	1.925196	-2.113278
614.0	2.238663	-0.416946
614.05	2.546864	-1.149254
614.1	2.793952	-3.686506
614.15	2.951336	-6.287732
614.2	3.026179	-7.360965
614.25	3.006242	-6.43406
614.3	2.910627	-4.217957
614.35	2.699592	-1.88851
614.4	2.340286	-0.287808
614.45	1.80828	0.599998
614.5	1.107097	1.278881
614.55	0.234775	2.343997
614.6	-0.705998	3.903969
614.65	-1.655287	5.669596
614.7	-2.462101	7.224866
614.75	-3.068061	8.165051
614.8	-3.386447	8.050438
614.85	-3.404082	6.579092
614.9	-3.194391	3.867303
614.95	-2.846339	0.403735
615.0	-2.516368	-3.247494
615.05	-2.297026	-6.672579
615.1	-2.21657	-9.405778
615.15	-2.275268	-10.826339
615.2	-2.368804	-10.384159
615.25	-2.377265	-8.036212
615.3	-2.20601	-4.5144
615.35	-1.786501	-0.963444
615.4	-1.135502	1.646231
615.45	-0.336679	2.987776
615.5	0.566309	3.19817
